job_title,company,posting_date,requirements,knowledge_areas
Programador UI/UX,U,2021-01-27,"['CSS (Cascading Style Sheets)', 'HTML', 'JavaScript', 'JSON', 'Bootstrap framework']","['Tecnologías de la Información', 'Diseño Gráfico / Web', 'Tecnologías de la Información', 'Desarrollo', 'CSS (Cascading Style Sheets)', 'HTML', 'JavaScript', 'JSON', 'Bootstrap framework']"
Estudiantes IT,Practia Global,2021-01-26,"['GeneXus', 'Microsoft.Net Framework', 'Programación']","['Tecnologías de la Información', 'Desarrollo', 'GeneXus', 'Microsoft.Net Framework', 'Programación']"
ARQUITECTA,U,2021-01-25,['Arquitectura'],"['Construcción – Arquitectura', 'Arquitectura', 'Construcción – Arquitectura', 'Construcción', 'Arquitectura']"
Desarrollador Jr. (Part time),Abitab,2021-01-25,['Programación'],"['Tecnologías de la Información', 'Análisis de Sistemas', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Seguridad Informática', 'Tecnologías de la Información', 'Desarrollo', 'Tecnologías de la Información', 'Aplicaciones para Celular', 'Programación']"
VENDEDOR DE PLAZA - PREVENTISTA,U,2021-01-22,"['Coordinación de fuerza de ventas', 'Logística de ventas']","['Comercio – Mercadeo – Ventas', 'Comercial / Ventas', 'Coordinación de fuerza de ventas', 'Logística de ventas']"
Desarrollador WEB Front End,Bit Sistemas,2021-01-20,"['CSS (Cascading Style Sheets)', 'HTML', 'JavaScript', 'ASP.NET']","['Tecnologías de la Información', 'Análisis de Sistemas', 'Tecnologías de la Información', 'Diseño Gráfico / Web', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Desarrollo', 'CSS (Cascading Style Sheets)', 'HTML', 'JavaScript', 'ASP.NET']"
Programador Senior,Genesys,2021-01-08,"['Visual Studio .NET', 'ASP.NET', 'Android', 'iOS', 'Asp.NET MVC 4+', 'Asp.NET WebAPI', 'WCF']","['Tecnologías de la Información', 'Análisis de Sistemas', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Desarrollo', 'Tecnologías de la Información', 'Desarrollador iOS', 'Visual Studio .NET', 'ASP.NET', 'Android', 'iOS', 'Asp.NET MVC 4+', 'Asp.NET WebAPI', 'WCF']"
Analista Java -  para Software de Ticketing,Abitab,2021-01-08,['Java'],"['Tecnologías de la Información', 'Arquitectura de Sistemas', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Desarrollo', 'Java']"
Programador Junior,U,2021-01-08,"['Java', 'Python', 'SQL', 'UNIX Shell Scripting', 'Linux', 'PostgreSQL']","['Tecnologías de la Información', 'Administración de Base de datos', 'Tecnologías de la Información', 'Análisis de Sistemas', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Sistemas Operativos', 'Tecnologías de la Información', 'Desarrollo', 'Java', 'Python', 'SQL', 'UNIX Shell Scripting', 'Linux', 'PostgreSQL']"
Desarrollador Genexus Junior,Advice,2021-01-08,['GeneXus'],"['Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Desarrollo', 'GeneXus']"
ROCHE: Analista de IT- Soporte Nivel 2 (contrato a 6 meses),Advice,2021-01-08,"['TCP/IP', 'Linux']","['Tecnologías de la Información', 'HelpDesk / Soporte Técnico', 'TCP/IP', 'Linux']"
Desarrollador Full Stack .NET,Pronto!,2021-01-08,"['SQL', 'C#', 'Asp.NET MVC 4+', 'WCF', 'Bootstrap framework', 'Metodología Scrum']","['Tecnologías de la Información', 'Análisis de Sistemas', 'Tecnologías de la Información', 'Arquitectura de Sistemas', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Desarrollo', 'SQL', 'C#', 'Asp.NET MVC 4+', 'WCF', 'Bootstrap framework', 'Metodología Scrum']"
Tester,Abitab,2020-12-09,['SQL'],"['Tecnologías de la Información', 'Administración de Base de datos', 'Tecnologías de la Información', 'Análisis de Sistemas', 'Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Testing de Sistemas', 'Tecnologías de la Información', 'Desarrollo', 'SQL']"
Desarrollador Genexus,Advice,2020-12-09,['GeneXus'],"['Tecnologías de la Información', 'Programación', 'GeneXus']"
Vendedor a la orden Temporal ,Coca-Cola FEMSA de Uruguay,2020-12-09,"['Venta de servicios', 'Atención al Cliente', 'Venta a Empresas']","['Comercio – Mercadeo – Ventas', 'Comercial / Ventas', 'Venta de servicios', 'Atención al Cliente', 'Venta a Empresas']"
Responsable de Planificacion y control de Producción.,U,2020-12-09,"['Logística de producción', 'Gestión de Producción (Industria)']","['Administración – Secretariado', 'Administración Contable y Financiera', 'Administración – Secretariado', 'Gestión de Operaciones', 'Industria – Producción', 'Operaciones', 'Logística de producción', 'Gestión de Producción (Industria)']"
Analista Programador GeneXus / Estudiante de Informática,U,2020-12-09,"['GeneXus', 'SQL', 'Programación', 'Base de datos']","['Tecnologías de la Información', 'Programación', 'GeneXus', 'SQL', 'Programación', 'Base de datos']"
Desarrollador Jr. - Part time,Abitab,2020-12-09,"['MySQL', 'PostgreSQL', 'Programación']","['Tecnologías de la Información', 'Programación', 'Tecnologías de la Información', 'Desarrollo', 'Tecnologías de la Información', 'Aplicaciones para Celular', 'MySQL', 'PostgreSQL', 'Programación']"
